,ESTADO,PRODUTO,MES_ANO,VL_VENDA
303,AM,DIESEL S10,05/2022,6.586666666666667
304,AM,DIESEL S10,05/2023,5.591549295774648
305,AM,DIESEL S10,05/2024,6.206349206349207
306,AM,DIESEL S10,05/2025,6.294117647058823
307,AM,DIESEL S10,06/2022,6.371428571428571
308,AM,DIESEL S10,06/2023,5.833333333333333
309,AM,DIESEL S10,06/2024,6.096774193548387
310,AM,DIESEL S10,06/2025,6.571428571428571
311,AM,DIESEL S10,07/2022,5.528925619834711
312,AM,DIESEL S10,07/2023,6.348484848484849
313,AM,DIESEL S10,07/2024,6.076923076923077
314,AM,DIESEL S10,07/2025,6.0
315,AM,DIESEL S10,08/2022,6.772151898734177
316,AM,DIESEL S10,08/2023,5.552238805970149
317,AM,DIESEL S10,08/2024,6.05
318,AM,DIESEL S10,08/2025,6.583333333333333
319,AM,DIESEL S10,09/2022,6.433333333333334
320,AM,DIESEL S10,09/2023,5.924242424242424
321,AM,DIESEL S10,09/2024,6.068493150684931
322,AM,DIESEL S10,09/2025,6.21875
323,AM,DIESEL S10,10/2022,5.666666666666667
324,AM,DIESEL S10,10/2023,5.784090909090909
325,AM,DIESEL S10,10/2024,6.037735849056604
326,AM,DIESEL S10,10/2025,6.25
327,AM,DIESEL S10,11/2022,6.6
328,AM,DIESEL S10,11/2023,5.6835443037974684
329,AM,DIESEL S10,11/2024,6.176470588235294
330,AM,DIESEL S10,11/2025,6.0
331,AM,DIESEL S10,12/2022,6.469879518072289
332,AM,DIESEL S10,12/2023,5.447761194029851
333,AM,DIESEL S10,12/2024,6.109375
334,AM,DIESEL S10,12/2025,6.659090909090909
335,AM,DIESEL S10,<NA>/<NA>,6.063420884048687
429,AP,DIESEL S10,01/2022,6.0
430,AP,DIESEL S10,01/2023,6.090909090909091
431,AP,DIESEL S10,01/2024,6.0
432,AP,DIESEL S10,02/2022,6.409090909090909
433,AP,DIESEL S10,02/2023,5.416666666666667
434,AP,DIESEL S10,02/2024,6.038461538461538
435,AP,DIESEL S10,02/2025,6.0
436,AP,DIESEL S10,03/2022,6.0
437,AP,DIESEL S10,03/2023,5.789473684210527
438,AP,DIESEL S10,03/2024,6.130434782608695
439,AP,DIESEL S10,03/2025,6.0
440,AP,DIESEL S10,04/2022,6.0
441,AP,DIESEL S10,04/2023,6.2
442,AP,DIESEL S10,04/2024,6.0
443,AP,DIESEL S10,04/2025,6.166666666666667
444,AP,DIESEL S10,05/2022,6.916666666666667
445,AP,DIESEL S10,05/2023,5.5
446,AP,DIESEL S10,05/2024,6.0
447,AP,DIESEL S10,05/2025,6.0
448,AP,DIESEL S10,06/2022,6.1
449,AP,DIESEL S10,06/2023,5.631578947368421
450,AP,DIESEL S10,06/2025,6.0
451,AP,DIESEL S10,07/2022,6.75
452,AP,DIESEL S10,07/2023,5.875
453,AP,DIESEL S10,07/2024,6.052631578947368
454,AP,DIESEL S10,07/2025,6.090909090909091
455,AP,DIESEL S10,08/2022,5.0
456,AP,DIESEL S10,08/2023,5.8
457,AP,DIESEL S10,08/2024,6.083333333333333
458,AP,DIESEL S10,08/2025,6.0
459,AP,DIESEL S10,09/2022,6.185185185185185
460,AP,DIESEL S10,09/2023,5.933333333333334
461,AP,DIESEL S10,09/2024,6.0
462,AP,DIESEL S10,09/2025,6.0
463,AP,DIESEL S10,10/2022,6.625
464,AP,DIESEL S10,10/2023,5.0
465,AP,DIESEL S10,10/2024,6.142857142857143
466,AP,DIESEL S10,10/2025,6.0
467,AP,DIESEL S10,11/2022,6.571428571428571
468,AP,DIESEL S10,11/2023,5.75
469,AP,DIESEL S10,11/2024,6.0
470,AP,DIESEL S10,11/2025,6.0
471,AP,DIESEL S10,12/2022,6.142857142857143
472,AP,DIESEL S10,12/2023,5.809523809523809
473,AP,DIESEL S10,12/2024,6.0
474,AP,DIESEL S10,<NA>/<NA>,6.027514231499051
524,BA,DIESEL S10,01/2022,6.09366391184573
525,BA,DIESEL S10,01/2023,5.373737373737374
526,BA,DIESEL S10,01/2024,5.519774011299435
527,BA,DIESEL S10,01/2025,5.948275862068965
