,ESTADO,PRODUTO,MES_ANO,VL_VENDA
620,BA,GNV,<NA>/<NA>,3.769831730769231
719,CE,GNV,01/2022,4.512820512820513
720,CE,GNV,01/2023,4.086956521739131
721,CE,GNV,01/2024,4.285714285714286
722,CE,GNV,01/2025,4.875
723,CE,GNV,02/2022,4.310344827586207
724,CE,GNV,02/2023,4.133333333333334
725,CE,GNV,02/2024,4.1395348837209305
726,CE,GNV,02/2025,4.285714285714286
727,CE,GNV,03/2022,4.0
728,CE,GNV,03/2023,4.1
729,CE,GNV,03/2024,4.421052631578948
730,CE,GNV,03/2025,4.285714285714286
731,CE,GNV,04/2022,4.326086956521739
732,CE,GNV,04/2023,4.095238095238095
733,CE,GNV,04/2024,4.5
734,CE,GNV,04/2025,4.333333333333333
735,CE,GNV,05/2022,4.358974358974359
736,CE,GNV,05/2023,4.12
737,CE,GNV,05/2024,4.105263157894737
738,CE,GNV,05/2025,6.0
739,CE,GNV,06/2022,4.181818181818182
740,CE,GNV,06/2023,4.066666666666666
741,CE,GNV,06/2024,4.352941176470588
742,CE,GNV,06/2025,4.875
743,CE,GNV,07/2022,4.538461538461538
744,CE,GNV,07/2023,4.0
745,CE,GNV,07/2024,4.117647058823529
746,CE,GNV,07/2025,4.090909090909091
747,CE,GNV,08/2022,4.444444444444445
748,CE,GNV,08/2023,4.142857142857143
749,CE,GNV,08/2024,4.4
750,CE,GNV,08/2025,4.888888888888889
751,CE,GNV,09/2022,4.0285714285714285
752,CE,GNV,09/2023,4.125
753,CE,GNV,09/2024,4.125
754,CE,GNV,09/2025,4.888888888888889
755,CE,GNV,10/2022,5.0
756,CE,GNV,10/2023,4.133333333333334
757,CE,GNV,10/2024,4.285714285714286
758,CE,GNV,10/2025,4.5
759,CE,GNV,11/2022,4.333333333333333
760,CE,GNV,11/2023,4.2
761,CE,GNV,11/2024,4.0
762,CE,GNV,11/2025,4.928571428571429
763,CE,GNV,12/2022,4.365384615384615
764,CE,GNV,12/2023,4.0
765,CE,GNV,12/2024,4.4
766,CE,GNV,12/2025,4.5
767,CE,GNV,<NA>/<NA>,4.276014760147602
866,DF,GNV,01/2022,7.0
867,DF,GNV,01/2023,6.0
868,DF,GNV,02/2022,6.0
869,DF,GNV,04/2022,6.0
870,DF,GNV,05/2023,6.0
871,DF,GNV,06/2022,6.0
872,DF,GNV,06/2023,6.0
873,DF,GNV,07/2022,6.0
874,DF,GNV,07/2023,6.0
875,DF,GNV,08/2022,7.0
876,DF,GNV,08/2023,6.0
877,DF,GNV,09/2022,6.0
878,DF,GNV,10/2022,6.0
879,DF,GNV,10/2023,6.0
880,DF,GNV,10/2024,6.0
881,DF,GNV,11/2022,6.5
882,DF,GNV,11/2023,6.0
883,DF,GNV,<NA>/<NA>,6.15625
982,ES,GNV,01/2022,4.633333333333334
983,ES,GNV,01/2023,4.25
984,ES,GNV,01/2024,4.238095238095238
985,ES,GNV,01/2025,4.0
986,ES,GNV,02/2022,4.666666666666667
987,ES,GNV,02/2023,4.0
988,ES,GNV,02/2024,4.071428571428571
989,ES,GNV,02/2025,4.0
990,ES,GNV,03/2022,4.206896551724138
991,ES,GNV,03/2023,4.0588235294117645
992,ES,GNV,03/2024,4.066666666666666
993,ES,GNV,03/2025,3.9166666666666665
994,ES,GNV,04/2022,4.16
995,ES,GNV,04/2023,4.0344827586206895
996,ES,GNV,04/2024,4.0
997,ES,GNV,04/2025,4.0
998,ES,GNV,05/2022,4.266666666666667
999,ES,GNV,05/2023,4.05
1000,ES,GNV,05/2024,4.081081081081081
1001,ES,GNV,05/2025,3.75
1002,ES,GNV,06/2022,4.769230769230769
1003,ES,GNV,06/2023,4.097560975609756
1004,ES,GNV,06/2024,4.0
1005,ES,GNV,06/2025,4.0
1006,ES,GNV,07/2022,4.296296296296297
1007,ES,GNV,07/2023,4.047619047619048
1008,ES,GNV,07/2024,4.2727272727272725
1009,ES,GNV,07/2025,4.0
1010,ES,GNV,08/2022,4.619047619047619
1011,ES,GNV,08/2023,4.133333333333334
1012,ES,GNV,08/2024,4.068965517241379
1013,ES,GNV,08/2025,3.857142857142857
1014,ES,GNV,09/2022,4.529411764705882
1015,ES,GNV,09/2023,4.0
1016,ES,GNV,09/2024,4.125
1017,ES,GNV,09/2025,3.875
1018,ES,GNV,10/2022,4.461538461538462
1019,ES,GNV,10/2023,4.142857142857143
1020,ES,GNV,10/2024,4.1
1021,ES,GNV,10/2025,4.0
1022,ES,GNV,11/2022,4.135135135135135
1023,ES,GNV,11/2023,4.0
1024,ES,GNV,11/2024,4.136363636363637
1025,ES,GNV,11/2025,4.0
1026,ES,GNV,12/2022,4.307692307692308
1027,ES,GNV,12/2023,4.115384615384615
1028,ES,GNV,12/2024,4.105263157894737
1029,ES,GNV,12/2025,4.0
1030,ES,GNV,<NA>/<NA>,4.146964856230032
1227,MA,GNV,12/2023,5.0
1228,MA,GNV,<NA>/<NA>,5.0
1327,MG,GNV,01/2022,4.6875
1328,MG,GNV,01/2023,4.1
1329,MG,GNV,01/2024,4.117647058823529
1330,MG,GNV,01/2025,4.5
1331,MG,GNV,02/2022,4.444444444444445
1332,MG,GNV,02/2023,4.083333333333333
1333,MG,GNV,02/2024,4.289473684210527
1334,MG,GNV,02/2025,4.571428571428571
1335,MG,GNV,03/2022,5.0
1336,MG,GNV,03/2023,4.125
1337,MG,GNV,03/2024,4.407407407407407
1338,MG,GNV,03/2025,4.333333333333333
1339,MG,GNV,04/2022,4.4375
1340,MG,GNV,04/2023,4.066666666666666
1341,MG,GNV,04/2024,4.260869565217392
1342,MG,GNV,04/2025,4.142857142857143
1343,MG,GNV,05/2022,4.538461538461538
1344,MG,GNV,05/2023,4.0
1345,MG,GNV,05/2024,4.566666666666666
1346,MG,GNV,05/2025,4.545454545454546
1347,MG,GNV,06/2022,4.583333333333333
1348,MG,GNV,06/2023,4.074074074074074
1349,MG,GNV,06/2024,4.142857142857143
1350,MG,GNV,06/2025,4.571428571428571
1351,MG,GNV,07/2022,4.5625
1352,MG,GNV,07/2023,4.1
1353,MG,GNV,07/2024,4.333333333333333
1354,MG,GNV,07/2025,4.666666666666667
1355,MG,GNV,08/2022,4.615384615384615
1356,MG,GNV,08/2023,4.055555555555555
1357,MG,GNV,08/2024,4.294117647058823
1358,MG,GNV,08/2025,4.285714285714286
1359,MG,GNV,09/2022,4.526315789473684
1360,MG,GNV,09/2023,4.115384615384615
1361,MG,GNV,09/2024,4.434782608695652
1362,MG,GNV,09/2025,4.7
1363,MG,GNV,10/2022,5.0
1364,MG,GNV,10/2023,4.225806451612903
1365,MG,GNV,10/2024,4.44
1366,MG,GNV,10/2025,4.380952380952381
1367,MG,GNV,11/2022,4.545454545454546
1368,MG,GNV,11/2023,4.190476190476191
1369,MG,GNV,11/2024,4.208333333333333
1370,MG,GNV,11/2025,4.375
1371,MG,GNV,12/2022,4.391304347826087
1372,MG,GNV,12/2023,4.086956521739131
1373,MG,GNV,12/2024,4.46875
1374,MG,GNV,12/2025,4.615384615384615
1375,MG,GNV,<NA>/<NA>,4.313443565780014
1474,MS,GNV,01/2022,4.0
1475,MS,GNV,01/2024,4.0
1476,MS,GNV,01/2025,4.0
1477,MS,GNV,02/2022,4.0
1478,MS,GNV,02/2024,4.0
1479,MS,GNV,02/2025,4.0
1480,MS,GNV,03/2022,4.0
1481,MS,GNV,03/2023,4.0
1482,MS,GNV,03/2024,4.0
1483,MS,GNV,03/2025,4.0
1484,MS,GNV,04/2022,4.625
1485,MS,GNV,04/2024,4.0
1486,MS,GNV,05/2022,4.0
1487,MS,GNV,05/2023,4.0
1488,MS,GNV,05/2024,4.0
1489,MS,GNV,05/2025,4.0
1490,MS,GNV,06/2022,4.0
1491,MS,GNV,06/2023,4.0
1492,MS,GNV,06/2024,4.0
1493,MS,GNV,06/2025,4.0
1494,MS,GNV,07/2022,4.333333333333333
1495,MS,GNV,07/2023,4.0
1496,MS,GNV,08/2022,4.0
1497,MS,GNV,08/2024,4.0
1498,MS,GNV,08/2025,4.0
1499,MS,GNV,09/2022,4.6
1500,MS,GNV,09/2023,4.0
1501,MS,GNV,09/2024,4.0
1502,MS,GNV,09/2025,4.0
1503,MS,GNV,10/2022,4.0
1504,MS,GNV,10/2023,3.5
1505,MS,GNV,10/2024,4.0
1506,MS,GNV,10/2025,4.0
1507,MS,GNV,11/2022,5.0
1508,MS,GNV,11/2025,4.0
1509,MS,GNV,12/2022,4.0
1510,MS,GNV,12/2023,4.0
1511,MS,GNV,12/2024,4.0
1512,MS,GNV,12/2025,4.0
1513,MS,GNV,<NA>/<NA>,4.114942528735632
1612,MT,GNV,01/2022,3.0
1613,MT,GNV,01/2023,3.0
1614,MT,GNV,01/2024,3.0
1615,MT,GNV,01/2025,4.0
1616,MT,GNV,02/2022,3.0
1617,MT,GNV,02/2023,3.0
1618,MT,GNV,02/2024,3.0
1619,MT,GNV,03/2022,3.0
1620,MT,GNV,03/2023,3.0
1621,MT,GNV,03/2024,3.0
1622,MT,GNV,04/2022,3.0
1623,MT,GNV,04/2025,4.0
1624,MT,GNV,05/2022,3.0
1625,MT,GNV,05/2023,3.0
1626,MT,GNV,05/2024,3.0
1627,MT,GNV,05/2025,3.5
1628,MT,GNV,06/2022,3.0
1629,MT,GNV,06/2023,3.0
1630,MT,GNV,06/2024,3.0
1631,MT,GNV,06/2025,4.0
1632,MT,GNV,07/2022,3.0
1633,MT,GNV,07/2023,3.0
1634,MT,GNV,07/2024,3.0
1635,MT,GNV,07/2025,4.0
1636,MT,GNV,08/2022,3.0
1637,MT,GNV,08/2023,3.0
1638,MT,GNV,08/2025,3.0
1639,MT,GNV,09/2022,3.0
1640,MT,GNV,09/2023,3.0
1641,MT,GNV,09/2024,3.0
1642,MT,GNV,09/2025,4.0
1643,MT,GNV,10/2022,3.0
1644,MT,GNV,10/2023,3.0
1645,MT,GNV,10/2025,4.0
1646,MT,GNV,11/2022,3.0
1647,MT,GNV,11/2023,3.0
1648,MT,GNV,11/2024,3.0
1649,MT,GNV,12/2022,3.0
1650,MT,GNV,12/2023,3.0
1651,MT,GNV,12/2024,3.0
1652,MT,GNV,12/2025,4.0
1653,MT,GNV,<NA>/<NA>,3.126984126984127
1752,PA,GNV,<NA>/<NA>,5.0
1851,PB,GNV,01/2022,4.454545454545454
1852,PB,GNV,01/2023,4.083333333333333
1853,PB,GNV,01/2024,4.208333333333333
1854,PB,GNV,01/2025,4.0
1855,PB,GNV,02/2022,4.875
